Participant City,Participant Country,Connection,IPv,Destination,Destination IP,Destination Hostname,Destination ASN,Destination City,Destination Country,Trace Hop Count,Hop 1 IP,Hop 1 Hostname,Hop 1 RTT,Hop 1 ASN,Hop 1 City,Hop 1 Country,Hop 2 IP,Hop 2 Hostname,Hop 2 RTT,Hop 2 ASN,Hop 2 City,Hop 2 Country,Hop 3 IP,Hop 3 Hostname,Hop 3 RTT,Hop 3 ASN,Hop 3 City,Hop 3 Country,Hop 4 IP,Hop 4 Hostname,Hop 4 RTT,Hop 4 ASN,Hop 4 City,Hop 4 Country,Hop 5 IP,Hop 5 Hostname,Hop 5 RTT,Hop 5 ASN,Hop 5 City,Hop 5 Country,Hop 6 IP,Hop 6 Hostname,Hop 6 RTT,Hop 6 ASN,Hop 6 City,Hop 6 Country,Hop 7 IP,Hop 7 Hostname,Hop 7 RTT,Hop 7 ASN,Hop 7 City,Hop 7 Country,Hop 8 IP,Hop 8 Hostname,Hop 8 RTT,Hop 8 ASN,Hop 8 City,Hop 8 Country,Hop 9 IP,Hop 9 Hostname,Hop 9 RTT,Hop 9 ASN,Hop 9 City,Hop 9 Country,Hop 10 IP,Hop 10 Hostname,Hop 10 RTT,Hop 10 ASN,Hop 10 City,Hop 10 Country,Hop 11 IP,Hop 11 Hostname,Hop 11 RTT,Hop 11 ASN,Hop 11 City,Hop 11 Country,Hop 12 IP,Hop 12 Hostname,Hop 12 RTT,Hop 12 ASN,Hop 12 City,Hop 12 Country,Hop 13 IP,Hop 13 Hostname,Hop 13 RTT,Hop 13 ASN,Hop 13 City,Hop 13 Country,Hop 14 IP,Hop 14 Hostname,Hop 14 RTT,Hop 14 ASN,Hop 14 City,Hop 14 Country,Hop 15 IP,Hop 15 Hostname,Hop 15 RTT,Hop 15 ASN,Hop 15 City,Hop 15 Country,Hop 16 IP,Hop 16 Hostname,Hop 16 RTT,Hop 16 ASN,Hop 16 City,Hop 16 Country,Hop 17 IP,Hop 17 Hostname,Hop 17 RTT,Hop 17 ASN,Hop 17 City,Hop 17 Country,Hop 18 IP,Hop 18 Hostname,Hop 18 RTT,Hop 18 ASN,Hop 18 City,Hop 18 Country,Hop 19 IP,Hop 19 Hostname,Hop 19 RTT,Hop 19 ASN,Hop 19 City,Hop 19 Country
vancouver,canada,wifi,4,www.instagram.com,209.52.156.97,Unknown,AS852 TELUS Communications Inc.,Vancouver,Canada,4,192.168.1.254,Unknown,0.885,,,,10.27.162.1,Unknown,3.303,,,,96.1.213.244,Unknown,3.411,,Burnaby,Canada,209.52.143.227,m227.aaa.bbb.ccc.bctel.net,1.586,AS852 TELUS Communications Inc.,Vancouver,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berlin,germany,wifi,6,www.instagram.com,2a01:860:1000:4:face:b00c:3333:a3f,Unknown,AS3209 Vodafone GmbH,Düsseldorf,Germany,7,2a02:8109:92c0:fb8:3631:c4ff:fef2:bf2c,Unknown,1.443,AS31334 Vodafone Deutschland GmbH,Berlin,Germany,2a02:8109:8001:25::1,Unknown,13.753,AS31334 Vodafone Deutschland GmbH,Unterföhring,Germany,2a02:8109:8001:25::1,Unknown,12.994,AS31334 Vodafone Deutschland GmbH,Unterföhring,Germany,2a02:8100:6:2::103:11,Unknown,16.795,AS3209 Vodafone GmbH,Unterföhring,Germany,,,,,,,2a01:860:2000::d,Unknown,14.063,AS3209 Vodafone GmbH,Düsseldorf,Germany,2a01:860:2000::e,Unknown,13.59,AS3209 Vodafone GmbH,Düsseldorf,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brighton,uk,wifi,4,www.instagram.com,157.240.1.52,Unknown,"AS32934 Facebook, Inc.",London,United Kingdom,11,192.168.1.1,Unknown,1.45,,,,192.168.0.1,Unknown,3.077,,,,,,,,,,80.3.64.89,brig-core-2a-xe-804-0.network.virginmedia.net,16.159,AS5089 Virgin Media Limited,Brighton,United Kingdom,,,,,,,62.253.174.174,telw-ic-1-ae0-0.network.virginmedia.net,18.904,AS5089 Virgin Media Limited,London,United Kingdom,157.240.65.124,ae13.pr04.lhr3.tfbnw.net,13.498,"AS32934 Facebook, Inc.",New York City,United States,31.13.31.100,po141.asw02.lhr6.tfbnw.net,14.439,"AS32934 Facebook, Inc.",Moscow,Russia,157.240.40.127,Unknown,24.239,"AS32934 Facebook, Inc.",Washington,United States,173.252.67.3,Unknown,16.253,"AS32934 Facebook, Inc.",Menlo Park,United States,157.240.1.52,Unknown,13.995,"AS32934 Facebook, Inc.",London,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cambridge,canada,wifi,4,www.instagram.com,76.10.130.224,76-10-130-224.dsl.teksavvy.com,"AS5645 TekSavvy Solutions, Inc.",Toronto,Canada,6,192.168.0.1,Unknown,2.745,,,,,,,,,,104.195.128.70,Unknown,17.984,"AS5645 TekSavvy Solutions, Inc.",Toronto,Canada,104.195.128.213,kitchener.tsi-rcable.tor2.teksavvy.com,15.393,"AS5645 TekSavvy Solutions, Inc.",Toronto,Canada,206.248.155.92,ae10-0-bdr01-tor2.teksavvy.com,21.985,"AS5645 TekSavvy Solutions, Inc.",Toronto,Canada,192.171.60.214,192-171-60-214.cpe.pppoe.ca,15.04,"AS5645 TekSavvy Solutions, Inc.",Toronto,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
santiago,chile,wifi,4,www.youtube.com,186.10.138.80,z279.entelchile.net,AS27986 ENTEL CHILE S.A.,Santiago,Chile,5,10.0.0.1,Unknown,1.99,,,,192.168.100.1,Unknown,2.719,,,,186.67.248.20,Unknown,5.365,AS6471 ENTEL CHILE S.A.,Santiago,Chile,172.31.213.26,Unknown,7.503,,,,172.31.198.174,Unknown,14.765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
london,uk,4g,4,www.youtube.com,173.194.139.10,Unknown,AS15169 Google LLC,Mountain View,United States,1,172.20.10.1,Unknown,16.829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
london,uk,4g,4,www.youtube.com,173.194.139.10,Unknown,AS15169 Google LLC,Mountain View,United States,3,172.20.10.1,Unknown,3.69,,,,,,,,,,172.20.197.5,Unknown,75.483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tokyo,japan,4g,4,www.youtube.com,49.98.24.80,Unknown,"AS9605 NTT DOCOMO, INC.",Tokyo,Japan,2,172.20.10.1,Unknown,272.724,,,,172.20.138.65,Unknown,168.593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
valencia,spain,4g,4,www.youtube.com,173.194.139.138,Unknown,AS15169 Google LLC,Mountain View,United States,16,192.168.43.163,Unknown,2.484,,,,,,,,,,10.22.60.109,Unknown,49.719,,,,10.22.60.110,Unknown,28.376,,,,,,,,,,10.25.64.161,Unknown,112.343,,,,,,,,,,172.30.84.241,Unknown,100.302,,,,,,,,,,,,,,,,,,,,,,72.14.211.154,Unknown,239.76,AS15169 Google LLC,Mountain View,United States,,,,,,,,,,,,,,,,,,,72.14.211.154,Unknown,115.366,AS15169 Google LLC,Mountain View,United States,,,,,,,,,,,,,,,,,,
bourneend,uk,4g,4,www.instagram.com,157.240.1.52,Unknown,"AS32934 Facebook, Inc.",London,United Kingdom,3,172.20.10.1,Unknown,0.642,,,,,,,,,,172.20.37.1,Unknown,39.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schofflisdorf,switzerland,wifi,4,www.instagram.com,194.230.47.33,Unknown,AS6730 Sunrise Communications AG,Zürich,Switzerland,10,192.168.1.1,Unknown,1.615,,,,,,,,,,10.200.102.161,Unknown,45.729,,,,10.200.102.66,Unknown,35.235,,,,212.161.142.13,Unknown,35.217,AS6730 Sunrise Communications AG,Zürich,Switzerland,,,,,,,195.141.217.155,tg0002ara01.xe0-0-0.bb.sunrise.net,45.609,AS6730 Sunrise Communications AG,Zürich,Switzerland,,,,,,,212.161.247.131,zur01pe20.100ge3-0-0.bb.sunrise.net,42.272,AS6730 Sunrise Communications AG,Zürich,Switzerland,193.192.225.227,Unknown,36.2,AS6730 Sunrise Communications AG,Zürich,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gland,switzerland,4g,4,www.instagram.com,90.255.253.97,Unknown,AS5378 Vodafone Limited,Slough,United Kingdom,9,172.20.10.1,Unknown,2.861,,,,,,,,,,192.168.172.44,Unknown,103.786,,,,192.168.172.60,Unknown,80.191,,,,192.168.172.94,Unknown,80.202,,,,,,,,,,172.20.85.105,Unknown,113.887,,,,63.130.104.202,Unknown,110.445,AS1273 Vodafone Group PLC,London,United Kingdom,90.255.254.82,Unknown,114.368,AS5378 Vodafone Limited,London,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gland,switzerland,wifi,6,www.instagram.com,2001:918:ff44:100:face:b00c:3333:a3f,Unknown,AS3303 Swisscom (Schweiz) AG,Bolligen,Switzerland,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schofflisdorf,switzerland,4g,4,www.instagram.com,194.230.47.33,Unknown,AS6730 Sunrise Communications AG,Zürich,Switzerland,10,192.168.43.251,Unknown,2.151,,,,192.168.1.1,Unknown,6.577,,,,10.200.102.161,Unknown,35.306,,,,10.200.102.66,Unknown,51.74,,,,212.161.142.13,Unknown,38.57,AS6730 Sunrise Communications AG,Zürich,Switzerland,,,,,,,195.141.217.155,tg0002ara01.xe0-0-0.bb.sunrise.net,91.797,AS6730 Sunrise Communications AG,Zürich,Switzerland,,,,,,,212.161.247.131,zur01pe20.100ge3-0-0.bb.sunrise.net,26.94,AS6730 Sunrise Communications AG,Zürich,Switzerland,193.192.225.227,Unknown,30.152,AS6730 Sunrise Communications AG,Zürich,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
santiago,chile,4g,4,www.youtube.com,186.10.138.80,z279.entelchile.net,AS27986 ENTEL CHILE S.A.,Santiago,Chile,11,172.20.10.1,Unknown,3.088,,,,,,,,,,,,,,,,172.25.238.57,Unknown,37.374,,,,,,,,,,,,,,,,10.170.115.202,Unknown,23.805,,,,172.31.213.30,Unknown,23.763,,,,172.31.197.137,Unknown,24.412,,,,172.31.197.30,Unknown,23.759,,,,172.31.198.174,Unknown,23.603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bromsgrove,uk,4g,4,www.youtube.com,173.194.139.10,Unknown,AS15169 Google LLC,Mountain View,United States,3,192.168.43.168,Unknown,2.403,,,,,,,,,,172.25.83.1,Unknown,54.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
valencia,spain,wifi,4,www.youtube.com,173.194.139.138,Unknown,AS15169 Google LLC,Mountain View,United States,12,192.168.0.1,Unknown,1.628,,,,192.168.1.1,Unknown,1.682,,,,81.46.38.46,46.red-81-46-38.customer.static.ccgg.telefonica.net,34.09,AS3352 TELEFONICA DE ESPANA,Madrid,Spain,81.46.69.97,97.red-81-46-69.customer.static.ccgg.telefonica.net,15.449,AS3352 TELEFONICA DE ESPANA,Bayeux,France,,,,,,,,,,,,,176.52.253.97,Unknown,37.089,AS12956 TELEFONICA GLOBAL SOLUTIONS SL,Madrid,Spain,72.14.211.154,Unknown,15.844,AS15169 Google LLC,Mountain View,United States,,,,,,,108.170.230.190,Unknown,12.364,AS15169 Google LLC,Mountain View,United States,216.239.35.239,Unknown,12.608,AS15169 Google LLC,Mountain View,United States,173.194.139.138,Unknown,12.075,AS15169 Google LLC,Mountain View,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cambridge,canada,wifi,4,www.youtube.com,206.248.151.144,cache.google.com,"AS5645 TekSavvy Solutions, Inc.",Toronto,Canada,5,192.168.0.1,Unknown,3.518,,,,,,,,,,104.195.128.70,Unknown,20.712,"AS5645 TekSavvy Solutions, Inc.",Toronto,Canada,104.195.128.213,kitchener.tsi-rcable.tor2.teksavvy.com,16.6,"AS5645 TekSavvy Solutions, Inc.",Toronto,Canada,206.248.155.92,ae10-0-bdr01-tor2.teksavvy.com,14.28,"AS5645 TekSavvy Solutions, Inc.",Toronto,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
london,uk,wifi,6,www.youtube.com,2a02:c7a:8000:1905::10,Unknown,AS5607 Sky UK Limited,London,United Kingdom,3,2a02:c7f:d44f:2600::1,Unknown,2.248,AS5607 Sky UK Limited,London,United Kingdom,2a02:c79:2::262,Unknown,7.852,AS5607 Sky UK Limited,London,United Kingdom,2a02:c79:2::297,Unknown,7.723,AS5607 Sky UK Limited,London,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tokyo,japan,4g,4,www.instagram.com,49.98.22.32,Unknown,"AS9605 NTT DOCOMO, INC.",Tokyo,Japan,2,172.20.10.1,Unknown,2.456,,,,172.20.138.65,Unknown,49.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perth,australia,4g,4,www.instagram.com,157.240.8.52,instagram-p3-shv-01-syd2.fbcdn.net,"AS32934 Facebook, Inc.",Sydney,Australia,14,172.20.10.1,Unknown,2.489,,,,10.251.255.254,Unknown,143.319,,,,10.194.36.17,Unknown,46.767,,,,10.194.125.2,Unknown,26.93,,,,10.194.125.9,Unknown,38.007,,,,10.194.125.209,Unknown,36.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.154.18.212,hu0-6-0-0.22rrpr01.optus.net.au,98.313,AS7474 SingTel Optus Pty Ltd,Sydney,Australia,157.240.47.65,po104.psw02.syd2.tfbnw.net,100.137,"AS32934 Facebook, Inc.",Washington,United States,157.240.47.79,po103.psw04.syd2.tfbnw.net,82.974,"AS32934 Facebook, Inc.",Washington,United States,157.240.8.52,instagram-p3-shv-01-syd2.fbcdn.net,84.136,"AS32934 Facebook, Inc.",Sydney,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
espoo,finland,wifi,6,www.instagram.com,2001:14b8:1800:401:face:b00c:3333:a3f,Unknown,AS16086 DNA Oyj,Virtasalmi,Finland,7,2001:14bb:491:d6:a693:3fff:fe15:699,Unknown,30.158,AS16086 DNA Oyj,Loimaa,Finland,,,,,,,2001:14b8:1040:104::f9:0,Unknown,20.468,AS16086 DNA Oyj,Virtasalmi,Finland,2001:14b8:1040:0:3e4e:641e::,Unknown,239.61,AS16086 DNA Oyj,Virtasalmi,Finland,,,,,,,2001:14b8:1800:400::1,Unknown,25.388,AS16086 DNA Oyj,Virtasalmi,Finland,2001:14b8:1800:400::c,Unknown,24.225,AS16086 DNA Oyj,Virtasalmi,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berlin,germany,4g,4,www.instagram.com,185.60.217.63,instagram-p3-shv-01-ber1.fbcdn.net,"AS32934 Facebook, Inc.",Velbert,Germany,14,192.168.43.203,Unknown,1.363,,,,,,,,,,10.218.161.60,Unknown,26.696,,,,10.218.163.138,Unknown,30.557,,,,10.216.34.86,Unknown,25.392,,,,10.216.34.58,Unknown,30.546,,,,169.254.1.30,Unknown,36.663,,,,145.253.5.126,Unknown,26.334,AS3209 Vodafone GmbH,Düsseldorf,Germany,92.79.215.49,Unknown,53.942,AS3209 Vodafone GmbH,Düsseldorf,Germany,92.79.215.49,Unknown,30.563,AS3209 Vodafone GmbH,Düsseldorf,Germany,157.240.75.182,ae5.pr03.ber1.tfbnw.net,40.193,"AS32934 Facebook, Inc.",New York City,United States,157.240.51.115,po103.psw02.ber1.tfbnw.net,26.437,"AS32934 Facebook, Inc.",New York City,United States,173.252.67.63,Unknown,25.219,"AS32934 Facebook, Inc.",Menlo Park,United States,185.60.217.63,instagram-p3-shv-01-ber1.fbcdn.net,24.489,"AS32934 Facebook, Inc.",Velbert,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tokyo,japan,wifi,4,www.instagram.com,31.13.82.52,instagram-p3-shv-01-nrt1.fbcdn.net,"AS32934 Facebook, Inc.",Tokyo,Japan,12,192.168.11.1,Unknown,1.872,,,,221.251.242.57,221x251x242x57.ap221.ftth.ucom.ne.jp,2.063,AS17506 ARTERIA Networks Corporation,Tokyo,Japan,221.240.14.57,221x240x14x57.ap221.ftth.ucom.ne.jp,2.497,AS17506 ARTERIA Networks Corporation,Tokyo,Japan,221.112.22.113,221x112x22x113.ap221.ftth.ucom.ne.jp,3.201,AS17506 ARTERIA Networks Corporation,Tokyo,Japan,210.79.7.205,Unknown,4.884,AS17506 ARTERIA Networks Corporation,Tokyo,Japan,210.79.13.228,Unknown,2.624,AS17506 ARTERIA Networks Corporation,Tokyo,Japan,61.122.121.205,Unknown,2.976,AS17506 ARTERIA Networks Corporation,Tokyo,Japan,221.240.51.26,221x240x51x26.ap221.ftth.ucom.ne.jp,6.013,AS17506 ARTERIA Networks Corporation,Tokyo,Japan,61.122.113.18,Unknown,8.942,AS17506 ARTERIA Networks Corporation,Tokyo,Japan,157.240.40.1,Unknown,3.343,"AS32934 Facebook, Inc.",Menlo Park,United States,157.240.38.177,Unknown,11.492,"AS32934 Facebook, Inc.",Menlo Park,United States,31.13.82.52,instagram-p3-shv-01-nrt1.fbcdn.net,3.08,"AS32934 Facebook, Inc.",Tokyo,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hemelhempstead,uk,wifi,4,www.instagram.com,157.240.1.52,Unknown,"AS32934 Facebook, Inc.",London,United Kingdom,11,192.168.68.1,Unknown,9.548,,,,192.168.0.1,Unknown,8.833,,,,,,,,,,62.252.13.49,lutn-core-2a-xe-1014-0.network.virginmedia.net,23.761,AS5089 Virgin Media Limited,Luton,United Kingdom,,,,,,,62.253.174.174,telw-ic-1-ae0-0.network.virginmedia.net,22.186,AS5089 Virgin Media Limited,London,United Kingdom,213.104.85.226,m482-mp2.cvx3-a.ltn.dial.ntli.net,20.39,AS5089 Virgin Media Limited,London,United Kingdom,129.134.45.52,Unknown,25.456,"AS32934 Facebook, Inc.",Washington,United States,129.134.45.15,Unknown,29.749,"AS32934 Facebook, Inc.",Washington,United States,157.240.38.183,Unknown,18.542,"AS32934 Facebook, Inc.",Menlo Park,United States,157.240.1.52,Unknown,17.419,"AS32934 Facebook, Inc.",London,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lecce,italy,4g,4,www.youtube.com,83.224.68.16,Unknown,AS30722 Vodafone Italia S.p.A.,Milan,Italy,9,172.20.10.1,Unknown,0.975,,,,,,,,,,10.133.14.73,Unknown,81.4,,,,10.133.14.14,Unknown,45.011,,,,10.133.14.236,Unknown,52.939,,,,10.133.14.1,Unknown,62.947,,,,10.176.18.118,Unknown,56.044,,,,83.224.40.197,Unknown,52.864,,Frutigen,Switzerland,83.224.40.217,Unknown,49.843,,Frutigen,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
london,uk,4g,4,www.instagram.com,157.240.221.63,instagram-p3-shv-01-lhr8.fbcdn.net,"AS32934 Facebook, Inc.",London,United Kingdom,1,172.20.10.1,Unknown,8.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berlin,germany,4g,4,www.youtube.com,74.125.13.74,Unknown,AS15169 Google LLC,Mountain View,United States,15,192.168.43.203,Unknown,2.598,,,,,,,,,,10.218.161.60,Unknown,29.57,,,,10.218.163.138,Unknown,26.196,,,,10.216.34.86,Unknown,52.406,,,,10.216.34.58,Unknown,26.162,,,,169.254.1.30,Unknown,27.513,,,,145.253.5.126,Unknown,32.162,AS3209 Vodafone GmbH,Düsseldorf,Germany,145.254.2.215,Unknown,31.553,AS3209 Vodafone GmbH,Düsseldorf,Germany,145.254.2.215,Unknown,36.497,AS3209 Vodafone GmbH,Düsseldorf,Germany,72.14.194.138,Unknown,32.105,AS15169 Google LLC,Mountain View,United States,,,,,,,216.239.49.248,Unknown,41.872,AS15169 Google LLC,Mountain View,United States,108.170.226.7,Unknown,35.626,AS15169 Google LLC,Mountain View,United States,74.125.13.74,Unknown,34.471,AS15169 Google LLC,Mountain View,United States,,,,,,,,,,,,,,,,,,,,,,,,
